"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2288","Verify global navigation Menu links redirect correctly","chromium","Sun Jul 06 02:09:32 AEST 2025","passed","Sun Jul 06 02:09:35 AEST 2025","","paraBanking.spec.ts","",""
"","3663","Verify new savings account created successfully","chromium","Sun Jul 06 02:04:07 AEST 2025","passed","Sun Jul 06 02:04:11 AEST 2025","","ui\paraBanking.spec.ts","",""
"","3245","Verify new savings account created successfully","chromium","Sun Jul 06 02:09:35 AEST 2025","passed","Sun Jul 06 02:09:38 AEST 2025","","paraBanking.spec.ts","",""
"","559","Verify Find transactions by amount successfully","chromium","Sun Jul 06 02:09:44 AEST 2025","passed","Sun Jul 06 02:09:45 AEST 2025","","paraBanking.spec.ts","",""
"","1","Verify Pay bill using new account successfully","webkit","Sun Jul 06 02:03:03 AEST 2025","skipped","Sun Jul 06 02:03:03 AEST 2025","","ui\paraBanking.spec.ts","",""
"","31051","is able to create account and make transactions","firefox","Sun Jul 06 16:59:12 AEST 2025","broken","Sun Jul 06 16:59:43 AEST 2025","","para-banking.spec.ts","",""
"","26412","is able to create account and make transactions","chromium","Sun Jul 06 17:36:11 AEST 2025","passed","Sun Jul 06 17:36:37 AEST 2025","","para-banking.spec.ts","",""
"","0","Verify Transfer funds from new account successfully","firefox","Sun Jul 06 02:03:03 AEST 2025","skipped","Sun Jul 06 02:03:03 AEST 2025","","ui\paraBanking.spec.ts","",""
"","31404","is able to create account and make transactions","webkit","Sun Jul 06 16:59:52 AEST 2025","broken","Sun Jul 06 17:00:24 AEST 2025","","para-banking.spec.ts","",""
"","1","Verify Transfer funds from new account successfully","webkit","Sun Jul 06 02:03:03 AEST 2025","skipped","Sun Jul 06 02:03:03 AEST 2025","","ui\paraBanking.spec.ts","",""
"","3044","Verify Pay bill using new account successfully","chromium","Sun Jul 06 02:09:41 AEST 2025","passed","Sun Jul 06 02:09:44 AEST 2025","","paraBanking.spec.ts","",""
"","0","Verify Find transactions by amount successfully","webkit","Sun Jul 06 02:03:03 AEST 2025","skipped","Sun Jul 06 02:03:03 AEST 2025","","ui\paraBanking.spec.ts","",""
"","0","Verify Find transactions by amount successfully","firefox","Sun Jul 06 02:03:03 AEST 2025","skipped","Sun Jul 06 02:03:03 AEST 2025","","ui\paraBanking.spec.ts","",""
"","863","Verify Find transactions by amount successfully","chromium","Sun Jul 06 02:04:16 AEST 2025","passed","Sun Jul 06 02:04:17 AEST 2025","","ui\paraBanking.spec.ts","",""
"","2152","Verify global navigation Menu links redirect correctly","chromium","Sun Jul 06 02:04:05 AEST 2025","passed","Sun Jul 06 02:04:07 AEST 2025","","ui\paraBanking.spec.ts","",""
"","0","Verify Pay bill using new account successfully","firefox","Sun Jul 06 02:03:03 AEST 2025","skipped","Sun Jul 06 02:03:03 AEST 2025","","ui\paraBanking.spec.ts","",""
"","2299","Verify Transfer funds from new account successfully","chromium","Sun Jul 06 02:04:11 AEST 2025","passed","Sun Jul 06 02:04:13 AEST 2025","","ui\paraBanking.spec.ts","",""
"","3047","Verify Pay bill using new account successfully","chromium","Sun Jul 06 02:04:13 AEST 2025","passed","Sun Jul 06 02:04:16 AEST 2025","","ui\paraBanking.spec.ts","",""
"","2769","Verify Transfer funds from new account successfully","chromium","Sun Jul 06 02:09:38 AEST 2025","passed","Sun Jul 06 02:09:41 AEST 2025","","paraBanking.spec.ts","",""
